Epoch [1/100], Loss: 0.6795, Accuracy: 0.7760
Epoch [34/100], Loss: 0.3930, Accuracy: 0.8642
Epoch [35/100], Loss: 0.3924, Accuracy: 0.8643
Epoch [36/100], Loss: 0.3918, Accuracy: 0.8648
Epoch [37/100], Loss: 0.3912, Accuracy: 0.8649
Epoch [38/100], Loss: 0.3906, Accuracy: 0.8645
Epoch [39/100], Loss: 0.3899, Accuracy: 0.8653
Epoch [40/100], Loss: 0.3889, Accuracy: 0.8659
Epoch [41/100], Loss: 0.3888, Accuracy: 0.8662
Epoch [42/100], Loss: 0.3883, Accuracy: 0.8652
Epoch [43/100], Loss: 0.3876, Accuracy: 0.8666
Epoch [44/100], Loss: 0.3871, Accuracy: 0.8664
Epoch [45/100], Loss: 0.3870, Accuracy: 0.8667
Epoch [46/100], Loss: 0.3858, Accuracy: 0.8673
Epoch [47/100], Loss: 0.3856, Accuracy: 0.8659
Epoch [48/100], Loss: 0.3852, Accuracy: 0.8671
Epoch [49/100], Loss: 0.3848, Accuracy: 0.8668
Epoch [50/100], Loss: 0.3844, Accuracy: 0.8670
Epoch [51/100], Loss: 0.3841, Accuracy: 0.8671
Epoch [52/100], Loss: 0.3836, Accuracy: 0.8673
Epoch [53/100], Loss: 0.3833, Accuracy: 0.8667
Epoch [54/100], Loss: 0.3827, Accuracy: 0.8671
Epoch [55/100], Loss: 0.3823, Accuracy: 0.8673
Epoch [56/100], Loss: 0.3818, Accuracy: 0.8674
Epoch [57/100], Loss: 0.3819, Accuracy: 0.8673
Epoch [58/100], Loss: 0.3816, Accuracy: 0.8675
Epoch [59/100], Loss: 0.3812, Accuracy: 0.8673
Epoch [60/100], Loss: 0.3808, Accuracy: 0.8684
Epoch [61/100], Loss: 0.3806, Accuracy: 0.8686
Epoch [62/100], Loss: 0.3798, Accuracy: 0.8690
Epoch [63/100], Loss: 0.3795, Accuracy: 0.8681
Epoch [64/100], Loss: 0.3794, Accuracy: 0.8678
Epoch [65/100], Loss: 0.3791, Accuracy: 0.8692
Epoch [66/100], Loss: 0.3790, Accuracy: 0.8683
Epoch [67/100], Loss: 0.3786, Accuracy: 0.8686
Epoch [68/100], Loss: 0.3782, Accuracy: 0.8682
Epoch [69/100], Loss: 0.3781, Accuracy: 0.8691
Epoch [70/100], Loss: 0.3778, Accuracy: 0.8697
Epoch [71/100], Loss: 0.3777, Accuracy: 0.8690
Epoch [72/100], Loss: 0.3768, Accuracy: 0.8690
Epoch [73/100], Loss: 0.3768, Accuracy: 0.8698
Epoch [74/100], Loss: 0.3766, Accuracy: 0.8700
Epoch [75/100], Loss: 0.3764, Accuracy: 0.8694
Epoch [76/100], Loss: 0.3764, Accuracy: 0.8692
Epoch [77/100], Loss: 0.3762, Accuracy: 0.8694
Epoch [78/100], Loss: 0.3758, Accuracy: 0.8694
Epoch [79/100], Loss: 0.3753, Accuracy: 0.8697
Epoch [80/100], Loss: 0.3750, Accuracy: 0.8703
Epoch [81/100], Loss: 0.3751, Accuracy: 0.8697
Epoch [82/100], Loss: 0.3745, Accuracy: 0.8704
Epoch [83/100], Loss: 0.3746, Accuracy: 0.8699
Epoch [84/100], Loss: 0.3739, Accuracy: 0.8700
Epoch [85/100], Loss: 0.3739, Accuracy: 0.8698
Epoch [86/100], Loss: 0.3738, Accuracy: 0.8694
Epoch [87/100], Loss: 0.3735, Accuracy: 0.8708
Epoch [88/100], Loss: 0.3738, Accuracy: 0.8696
Epoch [89/100], Loss: 0.3731, Accuracy: 0.8707
Epoch [90/100], Loss: 0.3732, Accuracy: 0.8707
Epoch [91/100], Loss: 0.3729, Accuracy: 0.8700
Epoch [92/100], Loss: 0.3726, Accuracy: 0.8707
Epoch [93/100], Loss: 0.3724, Accuracy: 0.8706
Epoch [94/100], Loss: 0.3720, Accuracy: 0.8703
Epoch [95/100], Loss: 0.3718, Accuracy: 0.8721
Epoch [96/100], Loss: 0.3719, Accuracy: 0.8710
Epoch [97/100], Loss: 0.3716, Accuracy: 0.8707
Epoch [98/100], Loss: 0.3714, Accuracy: 0.8706
Epoch [99/100], Loss: 0.3713, Accuracy: 0.8703
Epoch [100/100], Loss: 0.3710, Accuracy: 0.8711
